,logFC,AveExpr,t,P.Value,adj.P.Val,B
DOCK1,4.6805497665929785,2.533785927026357,72.7830971847309,0.0,0.0,772.6524858557955
CLDN4,9.874340716456247,3.39389591798461,72.44769013800705,0.0,0.0,769.6750366117332
EMP2,7.02150893931472,3.5221235657642826,72.38257851438584,0.0,0.0,769.0880672372864
RP11-435O5.2,5.5374693730192694,-3.3816922886627374,72.06296868032092,0.0,0.0,764.8100562717069
LRRC1,5.169247641612357,2.206042287093784,71.92460116132017,0.0,0.0,764.8663044804185
WASL,3.1255608140297246,3.9388997599363096,71.88347127212229,0.0,0.0,764.5650280649724
PARD3,4.944344635319195,2.8560177973338776,71.80771417632326,0.0,0.0,763.8635065177656
BAIAP2L1,4.516690042457091,3.2318103677950893,71.77716970766708,0.0,0.0,763.5997421502968
PKP3,7.934974585477674,2.2704570245631186,71.52717465099471,0.0,0.0,761.2630508706605
LAD1,9.096658513501119,2.8586694635517813,71.37019497900575,0.0,0.0,759.8806458027937
ERVMER34-1,7.575015155932616,-2.1562379706947525,71.35260657210603,0.0,0.0,758.7519279902077
TFAP2C,8.40304315805922,-0.3304983673910334,71.30046657146553,0.0,0.0,758.706118936427
EPB41L1,6.417546385664697,2.632275446728085,70.94353359418423,0.0,0.0,755.9653594975424
MET,7.835857448908039,1.667450664042156,70.77809824039328,0.0,0.0,754.3343105796346
GGCT,3.761571462484383,3.854153616263174,70.75059421066354,0.0,0.0,754.2175469158606
KRT18,7.662746796148822,5.373500237742497,70.61129285326204,0.0,0.0,752.9199969007273
TUSC3,8.343246914174133,1.554103754918863,70.53206121669919,0.0,0.0,752.0565629567452
PPIC,7.600350674994983,1.2926428336324318,70.36309728644369,0.0,0.0,750.4567703868006
TMEM132A,5.721724671887085,2.6208594580826023,70.33389817607197,0.0,0.0,750.3600968776468
PHLDA3,6.233862860730479,3.219834762011813,70.26993021382631,0.0,0.0,749.7930425047837
EPHA2,7.871258099144432,2.408803118293412,70.26845925425297,0.0,0.0,749.7397767637326
PTK7,5.691358850046539,3.363121861690573,70.26033066020136,0.0,0.0,749.705447509149
MAGEF1,3.416263450849247,3.283058713547166,70.09904582196542,0.0,0.0,748.214463078195
HN1L,2.6289572077487913,5.009708300910326,69.4922316022729,0.0,0.0,742.5597878569014
ARHGAP23,6.236034766808704,3.996280547842996,69.39786208148159,0.0,0.0,741.6954109533472
PLXNB1,4.610112535719395,4.107404140455108,69.30697987648071,0.0,0.0,740.8455083696988
TCAF1,3.6924229215187667,3.548726988224306,69.22303827026613,0.0,0.0,740.0725453429153
MDK,6.386409193714686,4.095702155836919,69.21982672678784,0.0,0.0,740.0321905653408
MSX2,9.065807235429471,-0.9220451706783018,69.13348064275692,0.0,0.0,738.6369752140298
KRT8,9.07132877999104,5.394207818335,69.11736301259859,0.0,0.0,739.060471134631
TCEAL4,3.178606959664823,4.226341292677253,68.86068680186729,0.0,0.0,736.668921954741
RASAL2,4.582827632062496,1.813229028538732,68.80531117369415,0.0,0.0,736.070966221945
PAWR,4.415857329345914,2.9151807751555223,68.78465925785066,0.0,0.0,735.9668987712913
MID1,7.0340413678712235,1.226729737893866,68.61259329128221,0.0,0.0,734.1765391613136
OVOL2,8.104176086572885,-1.6424278568593267,68.55436478441149,0.0,0.0,733.077404196822
MARVELD2,6.963483934235073,0.25411596135969033,68.48900873253065,0.0,0.0,732.8399018834025
CTNND1,3.6069591408131685,5.961209563225913,68.39926902512723,0.0,0.0,732.3220280267979
PPAP2C,8.284884640282238,1.5184340788093111,68.36957586475631,1e-323,4.9e-322,731.9396024964207
RP11-22C11.2,6.691714844312107,-2.9634289199849118,68.251327097716,2e-323,9.8e-322,729.9121749831754
PVRL4,8.980274624442384,2.131519959742471,67.95438597884204,4.55e-322,2.2317e-320,728.0999399219761
CCNO,7.450604047293165,-1.602463973456681,67.83899795366926,1.324e-321,6.4194e-320,726.3634501878345
PTPN14,5.3115652964279985,1.756784200185578,67.78518643006919,2.213e-321,1.0704e-319,726.4569865030509
CCDC58,4.02823946031093,1.3709733670051008,67.71281887392722,4.407e-321,2.11e-319,725.7180284082276
NR2F6,4.572714318536677,3.4796191948218236,67.64793045693482,8.14e-321,3.86947e-319,725.2433225518176
SNX7,6.671801255740874,0.7210286685548072,67.50862788851296,3.0593e-320,1.432637e-318,723.6754273227963
SEPT10,4.17472416039809,2.8601405920829404,67.48474417250348,3.841e-320,1.7943e-318,723.6915473216551
BMPR1A,3.55733525892536,2.4401840476694794,67.38599319146363,9.832e-320,4.57089e-318,722.7338523059506
GPC1,6.058654071414501,3.7507036905775384,67.37343191884834,1.1081e-319,5.139137e-318,722.6273624820708
SMARCA1,6.169907586676187,1.7250363948552558,67.3095202008424,2.03733e-319,9.380973e-318,721.937829682764
GNG12,5.9190174370453015,2.6535281930518666,67.23667349992118,4.0805e-319,1.86107e-317,721.3231385459586
ERBB3,7.603096153191531,2.745854492132148,67.10379074456006,1.450715e-318,6.5390898e-317,720.0591000873407
TSKU,6.537767078842191,2.414909445149971,66.9906448783263,4.278095e-318,1.91935867e-316,718.9627692617956
FAM83B,7.924357059491014,-1.409321434852989,66.73550679330032,4.9250717e-317,2.17914607e-315,715.9301688099325
VANGL1,3.7103573412066266,2.83623470651863,66.66373913450137,9.804549e-317,4.318264385e-315,715.8509859796062
FZD6,5.598557557701225,2.4395592131185375,66.57863552370952,2.21974683e-316,9.709878916e-315,715.0188723956
FXYD3,10.226353922545446,2.9890607269566076,66.47989393994935,5.73394535e-316,2.480028005e-314,714.0881255872345
TMEM54,7.385832191344106,2.376605222886881,66.33293104423596,2.35878104e-315,1.01564784606e-313,712.65399676648
SLC52A3,7.820891489824626,-0.3377100803169889,66.32587126339902,2.52475033e-315,1.0846845897e-313,712.2026001220944
C1orf198,3.279759050797509,3.604204700907289,66.305787855764,3.06364767e-315,1.31035614953e-313,712.405684907107
PTPRU,6.769509907807502,2.3650351287606477,66.29968071656891,3.24931681e-315,1.38668737553e-313,712.3332874949348
SOX4,4.726264088727116,4.395248693659486,66.17764192386258,1.053834084e-314,4.46765299854e-313,711.1484710514152
SIX4,7.319470394941607,-0.9926183164645649,66.15901933484622,1.2612592134e-314,5.33526507267e-313,710.4863179608211
CXADR,8.756479798469107,1.4725819975897434,66.05753147218851,3.3599369596e-314,1.408904284573e-312,709.9122015397546
ZDHHC9,3.078343848533403,3.701136734092978,65.8984115355792,1.5647144581e-313,6.53276771689e-312,708.4703594436401
