,logFC,AveExpr,t,P.Value,adj.P.Val,B
TTC28,5.344979071605419,3.1720394471428794,94.84274743579302,0.0,0.0,1048.8463462369982
KCTD3,4.84711641243744,4.077610884385158,94.36554901919088,0.0,0.0,1044.8991013251512
CALD1,6.014581815650418,5.860440011870513,94.23817126718161,0.0,0.0,1043.8356843532843
LAMB2,5.428391404498505,5.59262554257543,94.12395634046543,0.0,0.0,1042.8737803249508
PTPN14,6.561767305888138,2.923836042002929,93.96122284601145,0.0,0.0,1041.4102699886298
PTPRG,7.100754035539886,3.223905226233017,93.67876174395808,0.0,0.0,1039.0606028382708
SPRY4,7.970812769617934,2.79282937314822,93.57152009742202,0.0,0.0,1038.099897737312
RASAL2,5.368777056181389,2.6457714260274994,93.3872048500608,0.0,0.0,1036.5158467176248
FNBP1L,4.942260413957699,3.834571960532777,93.3063421025506,0.0,0.0,1035.9452517814484
PODXL,6.485002931554069,4.716432793762464,92.80501034302615,0.0,0.0,1031.693508227472
CAMSAP2,4.5651068501659635,3.3020256321590447,92.74191011675424,0.0,0.0,1031.1137496691751
ESM1,10.941049828029183,2.5896057825103047,92.40567360603744,0.0,0.0,1028.154267862696
AGRN,6.112387311791931,5.639345405716271,92.20723819137085,0.0,0.0,1026.5843019357262
RCN1,3.93318844994417,5.032815037298986,92.17245775646718,0.0,0.0,1026.2861102752659
SMARCA1,6.3679760394410145,2.3111102470203932,92.0656361093891,0.0,0.0,1025.193080884681
ADGRF5,7.926385002997047,3.583382018182088,91.90083113331285,0.0,0.0,1023.9344369845145
TEAD1,6.848440609176737,2.9641734104580673,91.87451588534427,0.0,0.0,1023.6572069166584
HOXC-AS2,6.238451595648164,-2.453722970964498,91.84477754601302,0.0,0.0,1022.0100587445539
ADCY6,4.985248051916705,3.1571735060805324,91.34612250040907,0.0,0.0,1019.1280349886661
HOXD3,7.198812450084455,-1.4837068188653444,91.34244956505015,0.0,0.0,1017.9676476154393
CRIM1,6.0495414363716264,5.149953440096797,91.33103225600439,0.0,0.0,1019.0454012451332
FBXO17,8.855292681580611,2.5712240445022383,91.2086689896982,0.0,0.0,1017.8670674663866
PLOD2,7.511717988229334,4.316609991601581,90.9574477403129,0.0,0.0,1015.8121164603828
SPIRE1,4.956742031272045,3.66025795736387,90.93025279361038,0.0,0.0,1015.5637353275682
ITGA1,5.3319108584133055,5.026438975278433,90.74499807810685,0.0,0.0,1013.9702961740267
GOLIM4,4.200561893110808,4.086385747099149,90.66538936334202,0.0,0.0,1013.276016370653
PARVA,6.21880192512222,3.3433553832289578,90.51843781583163,0.0,0.0,1011.9722585707271
NR2F2-AS1,6.790042530461968,-1.6765793990758329,90.491464895241,0.0,0.0,1010.5778271143439
CTNND1,3.740203879281367,6.332742711351052,90.05588633025882,0.0,0.0,1007.9685379209304
LAMC1,4.894982441271315,5.659583006962584,90.03701805818157,0.0,0.0,1007.8034371128263
EPS8,5.5581150153282435,4.236529269200969,89.75302146659352,0.0,0.0,1005.3184048093658
WASL,3.4938403017936035,4.422128418889838,89.6431973771066,0.0,0.0,1004.3565173018254
CLDN12,5.523983719581434,2.466487722922043,89.6040213171441,0.0,0.0,1003.890655986423
CX3CL1,8.127256717440204,3.7715860569341513,89.49693652630828,0.0,0.0,1003.0664520977223
DAB2IP,5.391944154353946,3.827710236929476,89.48627254354915,0.0,0.0,1002.9741555428521
ENAH,5.541156592753648,2.7883644863656745,89.46127225599304,0.0,0.0,1002.6847206845543
CDC42BPA,4.894753830835681,3.8887495564642798,89.4286305344353,0.0,0.0,1002.4691804765575
SEPT10,4.694170892722672,3.504623240246632,89.34745180450594,0.0,0.0,1001.7441681777946
PLS3,6.155155333202616,3.954965990614622,89.24925656045964,0.0,0.0,1000.8933342914139
FRK,8.378666375167093,0.9930858229332804,89.21250673068967,0.0,0.0,1000.1220832792214
RNF128,10.05905205558453,1.0442282819329713,88.95713683429588,0.0,0.0,997.8909742125699
ARHGAP29,6.1599060428788,3.8987922354497564,88.92084093842817,0.0,0.0,997.9987069256284
ARHGEF28,6.550120449148242,2.8651365108336204,88.8248796517805,0.0,0.0,997.0926742499374
DDAH1,7.605580358020593,3.3700240748555372,88.62522000948232,0.0,0.0,995.3693946430019
IGFBP7,4.516818148771399,7.636230636686065,88.58925580706281,0.0,0.0,995.0711445680024
EFNB2,6.911933423717603,2.944763481207912,88.451143170708,0.0,0.0,993.796376525851
RP11-752L20.3,6.830484588690976,-2.10139967113502,88.27739589950609,0.0,0.0,991.1089812248009
OSMR,6.820177164522422,3.8340975953361305,88.24488128293311,0.0,0.0,992.0145269781216
TNS3,3.640984157472301,5.869062037255207,88.15066153278785,0.0,0.0,991.1795972382282
FARP1,4.439487107868247,5.122359294300655,87.99241109207352,0.0,0.0,989.7720276763441
PCDHB10,7.74525810287729,-0.8130885888339251,87.82354366481458,0.0,0.0,987.3922527769705
GNAI1,5.617156049720175,2.360028806157739,87.79736200628054,0.0,0.0,987.91430612791
GPRC5C,5.543778155228341,3.718952019380672,87.4905702758221,0.0,0.0,985.2924568035838
VASN,5.457587148093756,3.1150926119697644,87.43549226754004,0.0,0.0,984.7728608040403
VWA1,7.794642410513102,3.282229617931492,87.34306501796291,0.0,0.0,983.956903355664
REP15,5.824362569395845,-2.708967306032844,87.08385368749462,0.0,0.0,980.358587811644
RP11-13J10.1,5.690778211496021,-3.1315855670176163,87.05997355995831,0.0,0.0,980.0360677793824
SALL1,9.453242831902028,1.4326576366176966,86.95818903754504,0.0,0.0,980.2304295158979
DCDC2,9.581567773997692,0.06210157151548431,86.79614496164487,0.0,0.0,978.4336844842869
WWC1,7.129281466579198,3.071281644516684,86.75444296278977,0.0,0.0,978.6617272655616
CD276,6.623698445662702,2.9314298010017303,86.68167931757506,0.0,0.0,977.9955992066916
RP11-680F8.3,4.610307055524815,-3.563913703258116,86.58382600281507,0.0,0.0,975.6631826159132
SHANK2,8.20296002972876,1.0310800950540397,86.54383199772626,0.0,0.0,976.4124662584151
APP,3.735262359836435,8.283131478858675,86.47503677488729,0.0,0.0,976.1751907313331
RHPN2,7.078442294005933,1.9669838462942761,86.42723621839208,0.0,0.0,975.5691383095663
ITGA3,5.837693242315471,5.116010923956946,86.32277205868782,0.0,0.0,974.7970210130055
IGFBP3,8.617925422386296,6.716739568953731,86.22104188718072,0.0,0.0,973.8785908593932
TMEM47,7.486293232524906,2.676294180635596,85.81371503318988,0.0,0.0,970.126836663884
FERMT2,5.22612224631762,3.2534305571225515,85.71815658042976,0.0,0.0,969.305209807116
HSPA12A,6.731273003262466,2.026737693296832,85.59910650644603,0.0,0.0,968.0853376697233
LGR4,6.457319724134128,3.0223695086043096,85.28212572510601,0.0,0.0,965.3229900199592
ITGAV,5.27700154363233,5.355894071133341,85.2597525487636,0.0,0.0,965.142268716767
